CURSO RESPONSAVEL;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;T-P-I;VAGAS;centro responsável;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA001-17SA;Algoritmos e Estruturas de Dados I A1-diurno (Santo André);quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  semanal ;02/02/2004;48;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;FABRÍCIO OLIVETTI DE FRANÇA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA001-17SA;Algoritmos e Estruturas de Dados I A1-noturno (Santo André);quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  semanal ;02/02/2004;30;CMCC;MONAEL PINHEIRO RIBEIRO;ALEXANDRE NOMA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA001-17SA;Algoritmos e Estruturas de Dados I A2-diurno (Santo André);quinta das 08:00 às 10:00,  semanal ;terca das 10:00 às 12:00,  semanal ;02/02/2004;40;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;JESÚS PASCUAL MENA CHALCO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCTA001-17SA;Algoritmos e Estruturas de Dados I A2-noturno (Santo André);quinta das 19:00 às 21:00,  semanal ;terca das 21:00 às 23:00,  semanal ;02/02/2004;30;CMCC;MONAEL PINHEIRO RIBEIRO;MONAEL PINHEIRO RIBEIRO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA002-17SA;Aprendizado de Máquina A-noturno (Santo André);segunda das 21:00 às 23:00,  semanal ,  quarta das 19:00 às 21:00,  semanal;;4-0-4;79;CMCC;THIAGO FERREIRA COVÕES;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA006-17SA;Computação Evolutiva e Conexionista A-noturno (Santo André);terca das 21:00 às 23:00,  semanal ,  quinta das 19:00 às 21:00,  semanal;;4-0-4;79;CMCC;KARLA VITTORI;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA008-17SA;Interação Humano-Computador A-diurno (Santo André);terca das 10:00 às 12:00,  semanal ,  quinta das 08:00 às 10:00,  semanal;;4-0-4;70;CMCC;CARLA LOPES RODRIGUEZ;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA032-17SA;Introdução à Programação de Jogos A-diurno (Santo André);;terca das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  semanal;02/02/2004;48;CMCC;;RAFAELA VILELA DA ROCHA CAMPOS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCZA032-17SA;Introdução à Programação de Jogos A1-noturno (Santo André);;terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;02/02/2004;48;CMCC;;FRANCISCO ISIDRO MASSETTO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA2MCZA032-17SA;Introdução à Programação de Jogos A2-noturno (Santo André);;terca das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;02/02/2004;45;CMCC;;HARLEN COSTA BATAGELO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCZA015-13SA;Mineração de Dados A1-diurno (Santo André);segunda das 10:00 às 12:00,  quinzenal I,  quarta das 08:00 às 10:00,  semanal;segunda das 10:00 às 12:00,  quinzenal II;03/01/2004;40;CMCC;CARLOS DA SILVA DOS SANTOS;CARLOS DA SILVA DOS SANTOS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCZA015-13SA;Mineração de Dados A2-diurno (Santo André);segunda das 10:00 às 12:00,  quinzenal I,  quarta das 08:00 às 10:00,  semanal;segunda das 10:00 às 12:00,  quinzenal II;03/01/2004;30;CMCC;CARLOS DA SILVA DOS SANTOS;JOÃO MARCELO BOROVINA JOSKO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMCZA033-17SA;Programação Avançada para Dispositivos Móveis A-diurno (Santo André);;segunda das 08:00 às 10:00,  semanal ,  quinta das 10:00 às 12:00,  semanal;0-4-4;48;CMCC;;DIOGO SANTANA MARTINS
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMCZA020-13SA;Programação Paralela A-noturno (Santo André);segunda das 19:00 às 21:00,  semanal ,  quinta das 21:00 às 23:00,  semanal;;4-0-4;62;CMCC;EMILIO DE CAMARGO FRANCESQUINI;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCTA023-17SA;Segurança de Dados A1-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ,  sexta das 08:00 às 10:00,  quinzenal I;sexta das 08:00 às 10:00,  quinzenal II;03/01/2004;48;CMCC;DENISE HIDEKO GOYA;DENISE HIDEKO GOYA
